Name,NameC,Category,CategoryIndex,Cmd,ObjectCode,DataType,Access,LowerLimit,UpperLimit,DefaultValue,Unit,VariableName,NonVolatile,DriveStatus,Effective,Public,Transform,402Index,402SubIndex,402ObjectCode,402DataType,402LowerLimit,402UpperLimit,402DefaultValue,402Unit,Description,InternalNotes,PDOMapping,ModbusStartAddress,ModbusLength,正确性,备注,ParamsType
Operation Mode,运行模式,App,0,,Val,INTEGER8,RW,0,127,0,-,op_mode,Y,Disabled,立即,N,,,,,,-,-,-,,,,,,,,,
Position Target Value,位置目标值,Output,0,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,0,p,position_target_value,N,Enabled|Disabled,立即,N,1,0x607A,0x00,Val,INTEGER32,-,-,-,UU,,,,61488,2,错误,前后数据类型不一致,位置模式参数
Motor Position Actual Value,电机端位置当前值,Feedback,0,,Val,INTEGER64,RO,-9223372036854775808,9223372036854775807,0,p,motor_position_actual_value,N,Enabled|Disabled,只读,Y,1,0x3572,0x00,Val,INTEGER32,-2147483648,2147483647,0,,,https://hs9e67ygio.feishu.cn/wiki/wikcn1XCUpIfmH7JhsWYQwYWpTf#doxcn6WeOweaGi2gEA3vIq8xy5b,,433,2,错误,前后数据类型不一致,位置模式参数
Motor Zero Pulse Error Value,电机端 Z 相检测误差,Calc,0,,Val,INTEGER32,RO,-2147483648,2147483647,0,p,motor_zero_pulse_error_value,N,Enabled|Disabled,只读,Y,1,0x3568,0x00,Val,INTEGER32,-2147483648,2147483647,0,-,,,,415,2,,,监控参数
Flash Storage Status,Flash存储状态,Status,0,,Val,INTEGER8,RO,-128,127,1,,flash_storage_status,N,Enabled|Disabled,只读,Y,1,0x355E,0x00,Val,UNS8,0,127,1,,,,,395,1,错误,前后数类型不一致,监控参数
Multi Segment Param,多段运行参数,MultiSegment,0,,Struct,,RW,,,0,,multi_segment_param_,Y,Enabled|Disabled,立即,N,,,,,,-,-,-,,,,,,,疑问,无数据类型,
Error Correction Table,位置误差补偿表,ErrorCorrection,0,,Array,INTEGER32,RW,-2147483648,2147483647,0,p,error_corr_table[1000],Y,Enabled|Disabled,立即,N,,,,,,-,-,-,,,,,,,,,
License Code,激活码,LicenseCode,0,,Array,INTEGER32,WO,-2147483648,2147483647,0,,license_code_[360],Y,Enabled|Disabled,立即,,,,,,,#N/A,#N/A,0,,,,,,,疑问,是否对用户开放,
Error Record,错误记录,ErrorRecord,0,,Struct,,RW,,,,,error_record_,Y,Enabled|Disabled,立即,N,,,,,,-,-,-,,,,,,,疑问,数据类型，是否对用户开放,
Zero Position Bias,零点位置偏移,Control,40,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,0,p,zero_position_bias,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Current Target Filter1 Type,指令电流滤波器1类型,Control,41,,Val,UNS8,RW,0,4,0,-,current_target_filter1_type,Y,Disabled,立即,Y,1,0x3615,0x00,Val,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1031,1,,,基本控制参数
Current Target Filter1 Frequency,指令电流滤波器1频率,Control,42,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,current_target_filter1_freq,Y,Disabled,立即,Y,10,0x3616,0x00,Val,UNS32,0,4294967295,10000,0.1Hz,,,,1033,2,,,基本控制参数
Current Target Filter1 Bandwidth,指令电流滤波器1带宽,Control,43,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,current_target_filter1_bw,Y,Disabled,立即,Y,10,0x3617,0x00,Val,UNS32,0,4294967295,10,0.1Hz,,,,1035,2,,,基本控制参数
Current Target Filter2 Type,指令电流滤波器2类型,Control,44,,Val,UNS8,RW,0,4,0,-,current_target_filter2_type,Y,Disabled,立即,Y,1,0x3618,0x00,Val,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1036,1,,,基本控制参数
Current Target Filter2 Frequency,指令电流滤波器2频率,Control,45,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,current_target_filter2_freq,Y,Disabled,立即,Y,10,0x3619,0x00,Val,UNS32,0,4294967295,10000,0.1Hz,,,,1038,2,,,基本控制参数
Current Target Filter2 Bandwidth,指令电流滤波器2带宽,Control,46,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,current_target_filter2_bw,Y,Disabled,立即,Y,10,0x361A,0x00,Val,UNS32,0,4294967295,10,0.1Hz,,,,1040,2,,,基本控制参数
Current Target Filter3 Type,指令电流滤波器3类型,Control,47,,Val,UNS8,RW,0,4,0,-,current_target_filter3_type,Y,Disabled,立即,Y,1,0x361B,0x00,Val,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1041,1,,,基本控制参数
Current Target Filter3 Frequency,指令电流滤波器3频率,Control,48,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,current_target_filter3_freq,Y,Disabled,立即,Y,10,0x361C,0x00,Val,UNS32,0,4294967295,10000,0.1Hz,,,,1043,2,,,基本控制参数
Current Target Filter3 Bandwidth,指令电流滤波器3带宽,Control,49,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,current_target_filter3_bw,Y,Disabled,立即,Y,10,0x361D,0x00,Val,UNS32,0,4294967295,10,0.1Hz,,,,1045,2,,,基本控制参数
Current Target Filter4 Type,指令电流滤波器4类型,Control,50,,Val,UNS8,RW,0,4,0,-,current_target_filter4_type,Y,Disabled,立即,Y,1,0x361E,0x00,Val,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1046,1,,,基本控制参数
Current Target Filter4 Frequency,指令电流滤波器4频率,Control,51,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,current_target_filter4_freq,Y,Disabled,立即,Y,10,0x361F,0x00,Val,UNS32,0,4294967295,10000,0.1Hz,,,,1048,2,,,基本控制参数
Current Target Filter4 Bandwidth,指令电流滤波器4带宽,Control,52,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,current_target_filter4_bw,Y,Disabled,立即,Y,10,0x3620,0x00,Val,UNS32,0,4294967295,10,0.1Hz,,,,1050,2,,,基本控制参数
Auto Gain Tuning Enable,自动增益调整开关,Control,53,,Val,UNS8,RW,0,1,0,-,auto_gain_tuning_enable,Y,Enabled|Disabled,立即,Y,1,0x3644,0x00,Val,,#N/A,#N/A,0,,"0：关闭
1：打开",https://hs9e67ygio.feishu.cn/wiki/wikcnsFdIqn82qc4gr6uDxAiPVe#doxcn0c60iW6i8mK8Ahx1U0aY9b,,1110,1,疑问,402数据类型？,基本控制参数
Auto Gain Tuning Method,自动增益调整方法,Control,54,,Val,UNS8,RW,0,255,0,-,auto_gain_tuning_method,Y,Disabled,立即,Y,1,0x3645,0x00,Val,,#N/A,#N/A,0,,,,,1111,1,疑问,402数据类型？,基本控制参数
Auto Gain Estimation Speed,自动增益估计速度,Control,55,,Val,UNS8,RW,0,7,4,-,auto_gain_estimation_speed,Y,Enabled|Disabled,立即,Y,1,0x3646,0x00,Val,,#N/A,#N/A,4,,,https://hs9e67ygio.feishu.cn/wiki/wikcnsFdIqn82qc4gr6uDxAiPVe#doxcnkEakkeEWM2KeUPzkN1Fh8c,,1112,1,疑问,402数据类型？,基本控制参数
Smoothing Factor Index,平滑系数指数,Control,56,,Val,INTEGER8,RW,-3,3,0,-,smoothing_factor_index,Y,Enabled|Disabled,立即,Y,1,0x364B,0x00,Val,INTEGER8,-3,3,0,,"TD滤波：-3~3
滑动均值滤波：固定为-1",https://hs9e67ygio.feishu.cn/wiki/wikcnTY8QGVpOUfMnpRZW7UzBFh?from=from_copylink,,1121,1,,,基本控制参数
Gain Switching Time 1,增益切换时间 1,Control,57,,Val,UNS16,RW,0,65535,0,ms,gain_switching_time_1,Y,Disabled,立即,N,1,,,Struct,UNS16,-,-,-,ms,,,,,,,,
Gain Switching Time 2,增益切换时间 2,Control,58,,Val,UNS16,RW,0,65535,0,ms,gain_switching_time_2,Y,Disabled,立即,N,1,,,Struct,UNS16,-,-,-,ms,,,,,,,,
Gain Switching Wait Time 1,增益切换等待时间 1,Control,59,,Val,UNS16,RW,0,65535,0,ms,gain_switching_wait_time_1,Y,Disabled,立即,N,1,,,Struct,UNS16,-,-,-,ms,,,,,,,,
Gain Switching Wait Time 2,增益切换等待时间 2,Control,60,,Val,UNS16,RW,0,65535,0,ms,gain_switching_wait_time_2,Y,Disabled,立即,N,1,,,Struct,UNS16,-,-,-,ms,,,,,,,,
Gain Switching Mode,增益切换模式,Control,61,,Val,UNS8,RW,0,255,0,-,gain_switching_mode,Y,Disabled,立即,N,1,,,Struct,UNS8,-,-,-,无量纲,,,,,,,,
Gain Switching Condition,增益切换条件,Control,62,,Val,UNS8,RW,0,255,0,-,gain_switching_condition,Y,Disabled,立即,N,1,,,Struct,UNS8,-,-,-,无量纲,,,,,,,,
Position Controller Gain 1,位置控制增益 1,Control,63,,Val,UNS32,RW,0,4294967295,100,%,position_controller_gain_1,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,%,,,,,,,,
Current Target Filter Frequency 1,转矩指令滤波截止频率 1,Control,64,,Val,UNS32,RW,0,4294967295,20000,0.1Hz,current_target_filter_freq_1,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,0.1Hz,,,,,,,,
Speed Observer Bandwidth 1,速度观测器带宽 1,Control,65,,Val,UNS32,RW,0,4294967295,400,Hz,speed_observer_bw_1,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,Hz,,,,,,,,
Friction Compensation Gain 1,摩擦补偿增益 1,Control,66,,Val,UNS32,RW,10,1000,10,%,friction_compensation_gain_1,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,%,,,,,,,,
Position Controller Gain 2,位置控制增益 2,Control,67,,Val,UNS32,RW,0,4294967295,100,%,position_controller_gain_2,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,%,,,,,,,,
Current Target Filter Frequency 2,转矩指令滤波截止频率 2,Control,68,,Val,UNS32,RW,0,4294967295,20000,0.1Hz,current_target_filter_freq_2,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,0.1Hz,,,,,,,,
Speed Observer Bandwidth 2,速度观测器带宽 2,Control,69,,Val,UNS32,RW,0,4294967295,400,Hz,speed_observer_bw_2,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,Hz,,,,,,,,
Friction Compensation Gain 2,摩擦补偿增益 2,Control,70,,Val,UNS32,RW,10,1000,10,%,friction_compensation_gain_2,Y,Enabled|Disabled,立即,N,1,,,Struct,UNS32,-,-,-,%,,,,,,,,
Electrical Angle Identification Parameter 1,电角度辨识参数 1,Control,71,,Val,UNS32,RW,1,2,1,-,elec_angle_ident_param_1,Y,Enabled|Disabled,立即,Y,1,0x3654,,Array,UNS32,1,2,1,-,寻相距离。仅适用于短距离寻相电角度辨识模式,https://hs9e67ygio.feishu.cn/wiki/wikcnfZ8eL1qFq9oTIk7Z7Jvfj3?from=from_copylink,,1137,2,,,辨识功能参数
Electrical Angle Identification Parameter 2,电角度辨识参数 2,Control,72,,Val,UNS32,RW,1,1000,20,-,elec_angle_ident_param_2,Y,Enabled|Disabled,立即,Y,1,0x3655,,Array,UNS32,1,1000,20,-,置信区间。仅适用于短距离寻相电角度辨识模式。,https://hs9e67ygio.feishu.cn/wiki/wikcnfZ8eL1qFq9oTIk7Z7Jvfj3?from=from_copylink,,1139,2,,,辨识功能参数
Electrical Angle Identification Parameter 3,电角度辨识参数 3,Control,73,,Val,UNS32,RW,1,1000,20,-,elec_angle_ident_param_3,Y,Enabled|Disabled,立即,Y,1,0x3656,,Array,UNS32,1,1000,20,-,电流上升时间。仅适用于短距离寻相电角度辨识模式,https://hs9e67ygio.feishu.cn/wiki/wikcnfZ8eL1qFq9oTIk7Z7Jvfj3?from=from_copylink,,1141,2,,,辨识功能参数
Low Frequency Vibration Filter1 Type,低频振动滤波器1类型,Control,74,,Val,UNS8,RW,0,4,0,-,low_freq_vibra_filter1_type,Y,Enabled|Disabled,立即,Y,1,0x3662,0x1,Struct,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1201,1,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter1 Frequency,低频振动滤波器1频率,Control,75,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,low_freq_vibra_filter1_freq,Y,Enabled|Disabled,立即,Y,10,0x3662,0x2,Struct,UNS32,0,4294967295,10000,0.1Hz,,,,1203,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter1 Bandwidth,低频振动滤波器1带宽,Control,76,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,low_freq_vibra_filter1_bw,Y,Enabled|Disabled,立即,Y,10,0x3662,0x3,Struct,UNS32,0,4294967295,10,0.1Hz,,,,1205,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter2 Type,低频振动滤波器2类型,Control,77,,Val,UNS8,RW,0,4,0,-,low_freq_vibra_filter2_type,Y,Enabled|Disabled,立即,Y,1,0x3662,0x4,Struct,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1206,1,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter2 Frequency,低频振动滤波器2频率,Control,78,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,low_freq_vibra_filter2_freq,Y,Enabled|Disabled,立即,Y,10,0x3662,0x5,Struct,UNS32,0,4294967295,10000,0.1Hz,,,,1208,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter2 Bandwidth,低频振动滤波器2带宽,Control,79,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,low_freq_vibra_filter2_bw,Y,Enabled|Disabled,立即,Y,10,0x3662,0x6,Struct,UNS32,0,4294967295,10,0.1Hz,,,,1210,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter3 Type,低频振动滤波器3类型,Control,80,,Val,UNS8,RW,0,4,0,-,low_freq_vibra_filter3_type,Y,Enabled|Disabled,立即,Y,1,0x3662,0x7,Struct,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1211,1,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter3 Frequency,低频振动滤波器3频率,Control,81,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,low_freq_vibra_filter3_freq,Y,Enabled|Disabled,立即,Y,10,0x3662,0x8,Struct,UNS32,0,4294967295,10000,0.1Hz,,,,1213,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter3 Bandwidth,低频振动滤波器3带宽,Control,82,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,low_freq_vibra_filter3_bw,Y,Enabled|Disabled,立即,Y,10,0x3662,0x9,Struct,UNS32,0,4294967295,10,0.1Hz,,,,1215,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter4 Type,低频振动滤波器4类型,Control,83,,Val,UNS8,RW,0,4,0,-,low_freq_vibra_filter4_type,Y,Enabled|Disabled,立即,Y,1,0x3662,0xA,Struct,UNS8,0,4,0,-,"0：不滤波
1：低通滤波
4：带阻滤波",,,1216,1,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter4 Frequency,低频振动滤波器4频率,Control,84,,Val,REAL32,RW,0.01,3.40282347e+38,1000,Hz,low_freq_vibra_filter4_freq,Y,Enabled|Disabled,立即,Y,10,0x3662,0xB,Struct,UNS32,0,4294967295,10000,0.1Hz,,,,1218,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Low Frequency Vibration Filter4 Bandwidth,低频振动滤波器4带宽,Control,85,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,low_freq_vibra_filter4_bw,Y,Enabled|Disabled,立即,Y,10,0x3662,0xC,Struct,UNS32,0,4294967295,10,0.1Hz,,,,1220,2,疑问,滤波器的DriveStatus与指令滤波器的DriveStatus不一样，是否滤波器的DriveStatus都应该是一样的？,基本控制参数
Input Shaping Enable,末端振动抑制功能开关,Control,86,,Val,UNS8,RW,0,1,0,-,input_shaping_enable,Y,Disabled,立即,Y,1,0x3665,0x01,Struct,UNS8,0,1,0,-,,,,1237,1,,,末端振动抑制参数
System Vibration Frequency,系统振动频率,Control,87,,Val,REAL32,RW,0.01,3.40282347e+38,1,Hz,system_vibration_freq,Y,Disabled,立即,Y,10,0x3665,0x02,Struct,UNS32,0,4294967295,10,0.1Hz,,,,1239,2,,,末端振动抑制参数
System Vibration Damping Ratio,系统振动阻尼比,Control,88,,Val,REAL32,RW,0.001,1,0,-,system_vibration_damping_ratio,Y,Disabled,立即,Y,1000,0x3665,0x03,Struct,UNS32,1,1000,0,-,,,,1241,2,,,末端振动抑制参数
Residual Vibration Ratio,残余振动比,Control,89,,Val,REAL32,RW,0.001,1,0,-,residual_vibration_ratio,Y,Disabled,立即,Y,1000,0x3665,0x04,Struct,UNS32,1,1000,0,0.10%,,,,1243,2,,,末端振动抑制参数
Feedback Swap Enable,反馈互换开关,Control,90,,Val,UNS8,RW,0,1,0,-,fb_swap_enable,Y,Disabled,立即,Y,1,0x366b,0x00,Val,UNS8,0,1,0,-,,,,,,,,编码器参数
Motor Direction Reverse,电机方向反向,Control,90,,Val,UNS8,RW,0,1,0,-,fb_swap_enable,Y,Disabled,立即,Y,1,0x3680,0x00,Val,UNS8,0,1,0,-,,,,,,,,编码器参数
Force Torque Compensation Enable,力控力矩补偿功能开关,Control,91,,Val,UNS8,RW,0,1,0,-,force_torque_comp_enable,Y,Disabled,立即,N,1,,,Val,UNS8,-,-,-,,,,,,,,,
Force Torque Compensation Table,力控力矩补偿表,Control,92,,Array,REAL32,RW,-3.40282347e+38,3.40282347e+38,0,-,force_torque_table[100],Y,Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Quick Stop Action Mode,快速停止动作模式,Service,1,,Val,INTEGER16,RW,0,8,2,-,quick_stop_action_mode,Y,Enabled|Disabled,立即,Y,1,0x605A,0x00,Val,INTEGER16,0,8,2,,"0：自由停机，保持自由运行状态
1：以0x6084-0x00（轮廓减速度）设定的减速度斜坡停机（回零模式下则为0x609A-0x00，回零减速度），停机完成后保持自由运行状态
2：以0x6085-0x00（快速停止减速度）设定的减速度斜坡停机。停机完成后保持switch on disabled
3：以最大减速度紧急停止转矩停机，停机完成后保持自由运行状态
5：以0x6084-0x00（轮廓减速度）设定的减速度斜坡停机（回零模式下则为0x609A-0x00，回零减速度），完成后保持位置锁定状态
6：以0x6085-0x00（快速停止减速度）设定的减速度斜坡停机，停机完成后保持位置锁定状态
7：以最大减速度紧急停止转矩停机，停机完成后保持位置锁定状态",https://hs9e67ygio.feishu.cn/wiki/wikcnkvEH4O7rOoccLEnBNkRrOK#doxcnsIwiQU0YOy0UC6snH521Wc,,61445,1,,,quick stop参数
Shutdown Action Mode,停机动作模式,Service,2,,Val,INTEGER16,RW,0,1,0,-,shutdown_action_mode,Y,Enabled|Disabled,立即,Y,1,0x605B,0x00,Val,INTEGER16,0,1,0,,,,,61446,1,,,基本控制参数
Fault Response Action Mode,故障响应动作模式,Service,3,,Val,INTEGER16,RW,0,4,0,-,fault_response_action_mode,Y,Enabled|Disabled,立即,Y,1,0x605E,0x00,Val,INTEGER16,0,4,0,,,,,61449,1,,,基本控制参数
Quick Stop Deceleration,快速停止减速度,Service,4,,Val,REAL32,RW,0,service_param_.app_dec_limit,2147483647,p/s^2,quick_stop_deceleration,Y,Enabled|Disabled,立即,Y,1,0x6085,0x00,Val,UNS32,0,#VALUE!,2147483647,,接收到急停指令后电机速度以此减速度减速到0,https://hs9e67ygio.feishu.cn/wiki/wikcnkvEH4O7rOoccLEnBNkRrOK#doxcnsIwiQU0YOy0UC6snH521Wc,,61513,2,疑问,无法计算402Upplimit,quick stop参数
Quick Stop Deceleration RPM,快速停止减速度(RPM),Service,5,,Val,UNS32,RW,0,4294967295,2147483647,rpm/s,quick_stop_deceleration_rpm,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
System Max Current,驱动器电机组合电流限制,Service,6,IMAX,Val,REAL32,RO,0,3.40282347e+38,10,A,system_max_current,Y,Enabled|Disabled,只读,N,1,,,,,-,-,-,,,,,,,,,
System Max Speed,驱动器电机组合速度限制,Service,7,VMAX,Val,REAL32,RO,0,3.40282347e+38,136534,p/s,system_max_speed,Y,Enabled|Disabled,只读,N,1,,,,,-,-,-,,,,,,,,,
System Max Speed RPM,驱动器电机组合速度限制(RPM),Service,8,VMAX,Val,UNS32,RO,0,4294967295,2000,rpm,system_max_speed_rpm,Y,Enabled|Disabled,只读,N,1,,,,,-,-,-,,,,,,,,,
Application Current Limit Relative,应用电流限制相对值,Service,9,ILIMR,Val,REAL32,RW,0,service_param_.system_max_current / motor_param_.motor_cont_current,2,-,app_current_limit_relative,Y,Enabled|Disabled,立即,Y,1000,0x6073,0x00,Val,UNS16,0,#VALUE!,2000,,应用电流限制相对值为电机额定电流的百分比。,https://hs9e67ygio.feishu.cn/wiki/wikcnj21j5OH9lEg7eoLT8HB1Ob?from=from_copylink,,61477,1,错误,前后数据类型不一致，无法计算402Upplimit,驱动器限制类参数
Application Current Limit,应用电流限制,Service,10,ILIM,Val,REAL32,RW,0,service_param_.system_max_current,2,A,app_current_limit,Y,Enabled|Disabled,立即,Y,1000,0x364C,0x00,Val,UNS32,0,#VALUE!,2000,,应用限制电流 = min[电机额定电流*应用限制电流相对值，电机峰值电流，驱动器峰值电流],https://hs9e67ygio.feishu.cn/wiki/wikcnj21j5OH9lEg7eoLT8HB1Ob?from=from_copylink,,1123,2,疑问,无法计算402Upplimit,驱动器限制类参数
Application Torque Limit Relative,应用力矩限制相对值,Service,11,TLIMR,Val,REAL32,RW,0,service_param_.system_max_current / motor_param_.motor_cont_current,2,-,app_torque_limit_relative,Y,Enabled|Disabled,立即,Y,1000,0x6072,0x00,Val,UNS16,0,#VALUE!,2000,,"                                         ",,,61476,1,疑问,无法计算402Upplimit,驱动器限制类参数
Application Torque Limit,应用力矩限制,Service,12,TLIM,Val,REAL32,RW,0,service_param_.system_max_current,2,mN,app_torque_limit,Y,Enabled|Disabled,立即,N,1000,,,,,-,-,-,,,,,,,,,
Application Acceleration Limit,应用加速度限制,Service,13,ACCLIM,Val,REAL32,RW,0,0xFFFFFF00,4294967040,p/s^2,app_acc_limit,Y,Enabled|Disabled,立即,Y,1,0x60C5,0x00,Val,UNS32,0,#VALUE!,4294967040,,最大加速度,https://hs9e67ygio.feishu.cn/wiki/wikcn9mUAPtvkzlOcCvaXhJJRxf?from=from_copylink,,61597,2,疑问,无法计算402Upplimit,驱动器限制类参数
Application Acceleration Limit RPM,应用加速度限制(RPM),Service,14,ACCLIM,Val,UNS32,RW,0,N,4294967295,rpm/s,app_acc_limit_rpm,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Application Deceleration Limit,应用减速度限制,Service,15,DECLIM,Val,REAL32,RW,0,0xFFFFFF00,4294967040,p/s^2,app_dec_limit,Y,Enabled|Disabled,立即,Y,1,0x60C6,0x00,Val,UNS32,0,#VALUE!,4294967040,,最大减速度,https://hs9e67ygio.feishu.cn/wiki/wikcnd71t6CQFvp7pWZyrxVQV9c?from=from_copylink,,61599,2,疑问,无法计算402Upplimit,驱动器限制类参数
Application Deceleration Limit RPM,应用减速度限制(RPM),Service,16,DECLIM,Val,UNS32,RW,0,4294967295,4294967295,rpm/s,app_dec_limit_rpm,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Application Speed Limit,应用速度限制,Service,17,VLIM,Val,REAL32,RW,0,service_param_.system_max_speed,136533.333,p/s,app_speed_limit,Y,Enabled|Disabled,立即,Y,1,0x607F,0x00,Val,UNS32,0,#VALUE!,136533,,位置模式和速度模式下的目标速度不可以超过应用速度限制值。力矩模式下的运行速度不超过应用速度限制值。,http://wiki.dige.com/pages/viewpage.action?pageId=27429625,,61501,2,疑问,无法计算402Upplimit,驱动器限制类参数
Application Speed Limit RPM,应用速度限制(RPM),Service,18,VLIM,Val,UNS32,RW,0,4294967295,2000,rpm,app_speed_limit_rpm,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Position Underflow Threshold,位置溢出最小值,Service,19,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,-2147483647,p,position_underflow_threshold,Y,Enabled|Disabled,立即,Y,1,0x607B,0x01,Struct,INTEGER32,-2147483648,2147483647,-2147483647,,限制用户位置下限值,https://hs9e67ygio.feishu.cn/wiki/wikcnw650eIW0aZEClDbUKRyrPf?from=from_copylink,,61490,2,疑问,前后数据类型不一致,驱动器限制类参数
Position Overflow Threshold,位置溢出最大值,Service,20,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,2147483647,p,position_overflow_threshold,Y,Enabled|Disabled,立即,Y,1,0x607B,0x02,Struct,INTEGER32,-2147483648,2147483647,2147483647,,限制用户位置上限值,https://hs9e67ygio.feishu.cn/wiki/wikcnw650eIW0aZEClDbUKRyrPf?from=from_copylink,,61492,2,疑问,前后数据类型不一致,驱动器限制类参数
Application Position Limit Enable,应用位置限制开关,Service,21,,Val,UNS8,RW,0,1,0,-,app_position_limit_enable,Y,Disabled,立即,Y,1,0x3535,0x00,Val,UNS8,0,1,0,,"用于软件位置超程警告功能
0：关闭
1：打开
",https://hs9e67ygio.feishu.cn/wiki/wikcnw650eIW0aZEClDbUKRyrPf?from=from_copylink,,76,1,,,驱动器限制类参数
Application Position Lower Limit,应用位置下限,Service,22,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,-2147483647,p,app_position_lower_limit,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Application Position Upper Limit,应用位置上限,Service,23,,Val,INTEGER64,RW,-9223372036854775808,9223372036854775807,2147483647,p,app_position_upper_limit,Y,Enabled|Disabled,立即,N,1,,,,,-,-,-,,,,,,,,,
Hardware Short Circuit Detect Enable,硬件短路保护检测开关,Service,24,,Val,UNS8,RW,0,1,1,-,hw_short_circuit_detect_enable,Y,Disabled,立即,N,1,0x35CE,0x00,Val,UNS8,-,-,-,,,,,924,1,疑问,目前没有启动，读到的一直是0，不可写,
Flash Status Detect Enable,Flash存储状态检测开关,Service,25,,Val,UNS8,RW,0,1,1,-,flash_status_detect_enable,Y,Disabled,立即,N,1,0x35CF,0x00,Val,UNS8,-,-,-,,,,,925,1,疑问,目前没有启动，读到的一直是0，不可写,
Position Feedback Status Detect Enable,位置反馈状态检测开关,Service,26,,Val,UNS8,RW,0,1,1,-,position_fb_status_detect_enable,Y,Disabled,立即,N,1,0x35D0,0x00,Val,UNS8,-,-,-,,,,,926,1,疑问,目前没有启动，读到的一直是0，不可写,
